deal_id,company,sector,region,stage,owner,created_date,deal_size_usd_mm,days_in_stage,screening_score
D001,Target 001,FinTech,Europe,Screening,Liam Patel,2025-04-13,47.1,18,57
D002,Target 002,Healthcare,North America,Screening,Maya Chen,2025-08-03,158.2,18,81
D003,Target 003,Consumer,North America,IC Review,Maya Chen,2025-12-10,48.8,33,65
D004,Target 004,Healthcare,North America,Diligence,Liam Patel,2025-01-22,39.8,15,79
D005,Target 005,FinTech,Europe,Approved,Liam Patel,2025-07-09,66.7,16,71
D006,Target 006,Industrials,North America,Approved,Liam Patel,2026-04-30,70.8,13,76
D007,Target 007,FinTech,Europe,IC Review,Liam Patel,2026-01-23,63.0,35,81
D008,Target 008,Healthcare,Europe,Rejected,Maya Chen,2026-03-04,36.8,19,71
D009,Target 009,Software,Europe,Diligence,Sofia Martinez,2026-01-23,66.3,15,74
D010,Target 010,Consumer,North America,Diligence,Noah Williams,2025-09-28,89.7,24,68
D011,Target 011,Consumer,Europe,Screening,Maya Chen,2025-12-04,173.0,18,53
D012,Target 012,Consumer,Europe,Diligence,Liam Patel,2025-06-06,83.5,34,82
D013,Target 013,FinTech,North America,Screening,Sofia Martinez,2025-10-16,82.6,18,61
D014,Target 014,Software,North America,Rejected,Noah Williams,2026-05-18,57.4,13,57
D015,Target 015,Business Services,Europe,IC Review,Liam Patel,2026-07-01,37.8,24,76
D016,Target 016,Business Services,Europe,Diligence,Maya Chen,2026-02-02,120.6,102,60
D017,Target 017,Consumer,North America,Approved,Liam Patel,2026-07-08,32.4,22,98
D018,Target 018,Industrials,North America,Diligence,Sofia Martinez,2026-04-30,38.0,19,54
D019,Target 019,Software,North America,Diligence,Sofia Martinez,2025-02-05,64.1,34,75
D020,Target 020,Industrials,North America,Diligence,Sofia Martinez,2025-01-28,90.3,20,55
D021,Target 021,Healthcare,Europe,Approved,Noah Williams,2026-05-21,52.1,15,82
D022,Target 022,Healthcare,North America,Diligence,Sofia Martinez,2025-09-16,33.4,25,69
D023,Target 023,FinTech,Europe,Approved,Sofia Martinez,2025-08-13,51.7,16,74
D024,Target 024,Healthcare,North America,Rejected,Noah Williams,2025-08-21,24.3,17,70
D025,Target 025,Software,North America,Rejected,Liam Patel,2025-09-25,59.8,9,72
D026,Target 026,FinTech,Europe,Screening,Maya Chen,2025-08-13,182.8,18,84
D027,Target 027,Industrials,Europe,Diligence,Sofia Martinez,2026-02-20,42.8,27,80
D028,Target 028,Consumer,North America,Rejected,Maya Chen,2025-07-17,45.7,45,67
D029,Target 029,FinTech,Europe,Rejected,Sofia Martinez,2025-07-20,38.6,18,92
D030,Target 030,Software,North America,Diligence,Noah Williams,2026-02-07,89.4,39,79
D031,Target 031,Software,Europe,Rejected,Liam Patel,2026-05-04,39.9,52,67
D032,Target 032,Consumer,Europe,Rejected,Liam Patel,2026-04-18,40.5,28,54
D033,Target 033,Healthcare,North America,Diligence,Maya Chen,2025-09-20,96.5,33,52
D034,Target 034,Consumer,North America,Diligence,Maya Chen,2025-10-31,65.6,26,78
D035,Target 035,Business Services,Europe,Rejected,Liam Patel,2025-01-09,93.1,13,68
D036,Target 036,Software,North America,Diligence,Maya Chen,2026-02-24,97.5,28,82
D037,Target 037,FinTech,North America,IC Review,Liam Patel,2026-05-25,38.7,13,73
D038,Target 038,Healthcare,North America,Approved,Sofia Martinez,2025-06-10,59.9,25,67
D039,Target 039,Consumer,Europe,Rejected,Liam Patel,2026-05-19,93.1,31,61
D040,Target 040,Consumer,North America,Rejected,Sofia Martinez,2026-04-15,64.4,15,62
D041,Target 041,Industrials,Europe,Rejected,Noah Williams,2025-12-31,90.9,25,87
D042,Target 042,Consumer,North America,IC Review,Liam Patel,2026-04-26,33.0,34,61
D043,Target 043,Software,North America,Diligence,Liam Patel,2026-07-01,60.0,28,75
D044,Target 044,Software,North America,Screening,Liam Patel,2025-02-06,75.8,18,80
D045,Target 045,Software,Europe,Rejected,Maya Chen,2025-04-09,39.4,18,44
D046,Target 046,Consumer,Europe,Diligence,Liam Patel,2025-11-19,53.5,15,73
D047,Target 047,Consumer,Europe,Screening,Liam Patel,2025-06-04,38.0,12,77
D048,Target 048,Industrials,North America,Rejected,Maya Chen,2025-02-08,43.5,39,64
D049,Target 049,Software,Europe,Approved,Noah Williams,2026-02-12,61.0,39,78
D050,Target 050,Industrials,North America,IC Review,Maya Chen,2026-05-27,100.6,18,70
D051,Target 051,Software,Europe,IC Review,Maya Chen,2025-05-23,42.6,22,71
D052,Target 052,Healthcare,Europe,Diligence,Liam Patel,2025-07-09,47.4,36,52
D053,Target 053,Industrials,Europe,Diligence,Liam Patel,2025-02-23,24.6,31,86
D054,Target 054,Software,North America,IC Review,Maya Chen,2025-12-16,56.4,66,79
D055,Target 055,FinTech,North America,Rejected,Maya Chen,2025-09-26,57.5,19,61
D056,Target 056,Healthcare,Europe,Screening,Noah Williams,2026-04-19,88.1,16,91
D057,Target 057,Healthcare,North America,Rejected,Liam Patel,2026-05-28,30.1,21,75
D058,Target 058,Industrials,Europe,Screening,Sofia Martinez,2026-03-23,165.7,18,66
D059,Target 059,Industrials,Europe,Diligence,Liam Patel,2025-06-03,106.7,17,69
D060,Target 060,Healthcare,North America,Diligence,Maya Chen,2025-08-06,140.1,36,79
D061,Target 061,FinTech,North America,Diligence,Noah Williams,2025-09-11,24.6,15,66
D062,Target 062,Consumer,North America,Rejected,Maya Chen,2025-08-11,64.0,96,73
D063,Target 063,Consumer,North America,Screening,Maya Chen,2025-01-16,66.0,18,79
D064,Target 064,Consumer,North America,Screening,Noah Williams,2026-01-15,63.9,18,68
D065,Target 065,Software,North America,Rejected,Maya Chen,2025-09-25,73.5,24,75
D066,Target 066,Consumer,Europe,Screening,Sofia Martinez,2025-03-31,45.6,18,66
D067,Target 067,Healthcare,Europe,Approved,Liam Patel,2026-02-22,59.6,8,78
D068,Target 068,Business Services,Europe,Diligence,Noah Williams,2026-01-11,55.5,38,79
D069,Target 069,Business Services,North America,Rejected,Maya Chen,2026-01-29,128.4,7,64
D070,Target 070,Industrials,North America,Approved,Maya Chen,2025-04-06,71.7,33,69
D071,Target 071,Consumer,Europe,Diligence,Liam Patel,2026-01-04,101.0,38,79
D072,Target 072,Business Services,North America,Rejected,Sofia Martinez,2025-12-08,21.9,18,68
D073,Target 073,Business Services,Europe,Screening,Maya Chen,2026-03-21,69.8,18,94
D074,Target 074,FinTech,Europe,Rejected,Maya Chen,2025-03-10,97.5,14,57
D075,Target 075,Healthcare,North America,Diligence,Liam Patel,2026-04-29,136.5,31,82
D076,Target 076,Business Services,North America,Diligence,Sofia Martinez,2025-09-10,75.4,22,86
D077,Target 077,Healthcare,Europe,Approved,Noah Williams,2026-01-28,77.6,39,54
D078,Target 078,Business Services,North America,Rejected,Maya Chen,2026-05-15,32.0,29,69
D079,Target 079,FinTech,Europe,IC Review,Maya Chen,2025-03-11,56.1,59,59
D080,Target 080,Software,North America,Diligence,Sofia Martinez,2026-06-15,87.7,25,59
D081,Target 081,Healthcare,Europe,Approved,Maya Chen,2025-08-08,123.4,32,78
D082,Target 082,Software,North America,Screening,Maya Chen,2026-01-22,83.9,18,73
D083,Target 083,Business Services,North America,Approved,Noah Williams,2026-01-04,61.9,15,49
D084,Target 084,Healthcare,Europe,Screening,Maya Chen,2025-03-21,79.0,18,72
D085,Target 085,Business Services,North America,Diligence,Maya Chen,2025-08-15,48.8,28,63
D086,Target 086,Business Services,Europe,Rejected,Liam Patel,2026-05-28,39.0,45,93
D087,Target 087,Healthcare,North America,Rejected,Noah Williams,2025-01-12,40.7,22,77
D088,Target 088,Software,Europe,Screening,Noah Williams,2025-11-12,37.8,16,73
