investment_id,company,sector,invested_capital_usd_mm,target_revenue_growth,actual_revenue_growth,revenue_growth_variance,target_ebitda_margin,actual_ebitda_margin,ebitda_margin_variance,target_churn,actual_churn,exception_severity
I001,PortfolioCo 01,Consumer,150.0,0.172,0.203,0.031000000000000028,0.192,0.203,0.01100000000000001,,,None
I002,PortfolioCo 02,Industrials,100.9,0.111,0.141,0.029999999999999985,0.156,0.156,0.0,,,None
I003,PortfolioCo 03,Industrials,133.1,0.122,0.105,-0.017,0.297,0.316,0.019000000000000017,,,None
I004,PortfolioCo 04,Industrials,155.9,0.125,0.033,-0.092,0.17,0.183,0.012999999999999984,,,P1
I005,PortfolioCo 05,Business Services,36.9,0.177,0.231,0.05400000000000002,0.161,0.125,-0.036000000000000004,,,P2
I006,PortfolioCo 06,Consumer,73.9,0.156,0.105,-0.051000000000000004,0.256,0.288,0.03199999999999997,,,P1
I007,PortfolioCo 07,Industrials,162.3,0.166,0.156,-0.010000000000000009,0.31,0.342,0.03200000000000003,,,None
I008,PortfolioCo 08,Business Services,148.8,0.22,0.272,0.05200000000000002,0.218,0.189,-0.028999999999999998,,,P2
I009,PortfolioCo 09,Consumer,99.4,0.168,0.128,-0.04000000000000001,0.222,0.268,0.04600000000000001,,,P2
I010,PortfolioCo 10,Consumer,139.3,0.113,0.081,-0.032,0.199,0.166,-0.033,,,P2
I011,PortfolioCo 11,Software,70.9,0.113,0.096,-0.017,0.215,0.218,0.0030000000000000027,0.071,0.104,None
I012,PortfolioCo 12,Consumer,171.4,0.145,0.118,-0.026999999999999996,0.254,0.29,0.035999999999999976,,,P2
I013,PortfolioCo 13,FinTech,104.5,0.112,0.186,0.074,0.18,0.153,-0.026999999999999996,0.077,0.071,P2
I014,PortfolioCo 14,Software,79.3,0.088,0.052,-0.036,0.279,0.233,-0.04600000000000001,0.072,0.089,P1
I015,PortfolioCo 15,Healthcare,59.8,0.111,0.075,-0.036000000000000004,0.241,0.29,0.04899999999999999,,,P2
I016,PortfolioCo 16,FinTech,39.2,0.203,0.287,0.08399999999999996,0.195,0.209,0.013999999999999985,0.063,0.098,None
I017,PortfolioCo 17,Healthcare,38.5,0.137,0.046,-0.09100000000000001,0.273,0.242,-0.031000000000000028,,,P1
I018,PortfolioCo 18,Business Services,101.9,0.091,0.114,0.023000000000000007,0.163,0.121,-0.04200000000000001,,,P1
I019,PortfolioCo 19,FinTech,156.9,0.149,0.273,0.12400000000000003,0.29,0.266,-0.023999999999999966,0.051,0.076,P2
I020,PortfolioCo 20,Software,66.4,0.203,0.29,0.08699999999999997,0.286,0.314,0.028000000000000025,0.082,0.101,None
I021,PortfolioCo 21,Healthcare,134.8,0.197,0.241,0.043999999999999984,0.255,0.291,0.035999999999999976,,,None
I022,PortfolioCo 22,Healthcare,141.7,0.102,0.067,-0.03499999999999999,0.276,0.242,-0.03400000000000003,,,P2
I023,PortfolioCo 23,Healthcare,49.9,0.195,0.182,-0.013000000000000012,0.151,0.191,0.04000000000000001,,,None
I024,PortfolioCo 24,Consumer,69.5,0.166,0.152,-0.014000000000000012,0.194,0.192,-0.0020000000000000018,,,None
I025,PortfolioCo 25,Software,123.3,0.156,0.124,-0.032,0.279,0.282,0.002999999999999947,0.062,0.068,P2
I026,PortfolioCo 26,Healthcare,123.1,0.21,0.21,0.0,0.167,0.168,0.0010000000000000009,,,None
I027,PortfolioCo 27,Software,35.5,0.122,0.129,0.007000000000000006,0.27,0.27,0.0,0.051,0.041,None
I028,PortfolioCo 28,Industrials,121.2,0.086,0.091,0.0050000000000000044,0.154,0.131,-0.022999999999999993,,,P2
I029,PortfolioCo 29,Industrials,28.4,0.125,0.196,0.07100000000000001,0.266,0.259,-0.007000000000000006,,,None
I030,PortfolioCo 30,FinTech,94.1,0.118,0.035,-0.08299999999999999,0.285,0.274,-0.010999999999999954,0.072,0.108,P1
I031,PortfolioCo 31,Consumer,67.4,0.213,0.27,0.05700000000000002,0.176,0.194,0.018000000000000016,,,None
I032,PortfolioCo 32,Industrials,90.1,0.169,0.149,-0.020000000000000018,0.218,0.244,0.025999999999999995,,,P2
I033,PortfolioCo 33,Business Services,60.6,0.11,0.084,-0.025999999999999995,0.155,0.106,-0.049,,,P1
I034,PortfolioCo 34,Software,159.0,0.146,0.21,0.064,0.315,0.319,0.0040000000000000036,0.077,0.079,None
I035,PortfolioCo 35,Healthcare,144.5,0.198,0.218,0.01999999999999999,0.172,0.214,0.04200000000000001,,,None
I036,PortfolioCo 36,Business Services,30.0,0.209,0.263,0.05400000000000002,0.232,0.244,0.011999999999999983,,,None
I037,PortfolioCo 37,FinTech,43.2,0.098,0.046,-0.052000000000000005,0.184,0.242,0.057999999999999996,0.059,0.07,P1
I038,PortfolioCo 38,Business Services,66.7,0.192,0.14,-0.05199999999999999,0.203,0.188,-0.015000000000000013,,,P1
I039,PortfolioCo 39,FinTech,36.2,0.135,0.119,-0.016000000000000014,0.232,0.172,-0.060000000000000026,0.072,0.099,P1
I040,PortfolioCo 40,Industrials,158.3,0.189,0.173,-0.016000000000000014,0.168,0.143,-0.025000000000000022,,,P2
I041,PortfolioCo 41,Software,62.5,0.218,0.203,-0.014999999999999986,0.255,0.209,-0.04600000000000001,0.072,0.074,P1
I042,PortfolioCo 42,FinTech,75.6,0.152,0.138,-0.013999999999999985,0.165,0.151,-0.014000000000000012,0.035,0.041,None
I043,PortfolioCo 43,Healthcare,86.5,0.099,0.183,0.08399999999999999,0.286,0.303,0.017000000000000015,,,None
I044,PortfolioCo 44,Business Services,56.0,0.103,0.103,0.0,0.27,0.237,-0.03300000000000003,,,P2
I045,PortfolioCo 45,FinTech,29.9,0.211,0.199,-0.011999999999999983,0.271,0.243,-0.028000000000000025,0.082,0.112,P2
